代码,名称,综合得分,选股日价格,次日开盘价,次日收益%,胜负
001314,亿道信息,0.5801,57.52,57.61,0.16,胜
688379,华光新材,0.5797,89.5,87.99,-1.69,负
002578,闽发铝业,0.5795,3.62,3.62,0.0,平
688416,恒烁股份,0.5793,138.72,138.99,0.19,胜
688262,国芯科技,0.5793,38.3,38.86,1.46,胜
688072,拓荆科技,0.5789,740.0,730.0,-1.35,负
300308,中际旭创,0.5788,1276.11,1270.0,-0.48,负
688558,国盛智科,0.5788,33.74,33.67,-0.21,负
001306,夏厦精密,0.5788,60.41,60.0,-0.68,负
688256,寒武纪,0.5784,1320.0,1319.72,-0.02,负
603131,上海沪工,0.5784,18.29,18.15,-0.77,负
300667,必创科技,0.5778,19.37,19.21,-0.83,负
300861,美畅股份,0.5777,20.27,20.27,0.0,平
300838,浙江力诺,0.5776,14.66,14.69,0.2,胜
688347,华虹宏力,0.5774,260.7,258.0,-1.04,负
688595,芯海科技,0.5766,39.44,39.38,-0.15,负
300183,东软载波,0.5761,11.08,11.07,-0.09,负
300735,光弘科技,0.576,24.85,24.35,-2.01,负
300337,银邦股份,0.5757,12.43,12.4,-0.24,负
000070,特发信息,0.5752,20.66,20.76,0.48,胜
300604,长川科技,0.5747,264.01,263.0,-0.38,负
300866,安克创新,0.5744,113.63,113.36,-0.24,负
301629,矽电股份,0.5742,401.93,396.84,-1.27,负
603090,宏盛股份,0.5736,62.4,62.4,0.0,平
688699,明微电子,0.5735,65.35,65.0,-0.54,负
301308,江波龙,0.5732,571.68,563.3,-1.47,负
600343,航天动力,0.573,24.5,24.22,-1.14,负
300946,恒而达,0.5726,46.91,47.38,1.0,胜
301165,锐捷网络,0.5713,65.39,64.9,-0.75,负
600487,亨通光电,0.5696,111.0,111.03,0.03,胜
300466,赛摩智能,0.5694,7.51,7.5,-0.13,负
688173,希荻微,0.569,16.93,16.86,-0.41,负
688661,和林微纳,0.5683,152.15,146.0,-4.04,负
688783,西安奕材-U,0.5676,54.5,53.0,-2.75,负
300613,富瀚微,0.5674,68.42,68.21,-0.31,负
688387,信科移动-U,0.5666,17.37,17.35,-0.12,负
688391,钜泉科技,0.5666,33.49,33.01,-1.43,负
688627,XD精智达,0.5665,542.28,531.43,-2.0,负
002045,国光电器,0.5663,8.64,8.59,-0.58,负
301360,荣旗科技,0.5662,77.06,77.15,0.12,胜
688702,盛科通信-U,0.5661,303.0,310.0,2.31,胜
300628,亿联网络,0.5661,33.78,33.7,-0.24,负
300780,德恩精工,0.5647,31.9,31.78,-0.38,负
688653,康希通信,0.5647,15.19,15.19,0.0,平
688768,容知日新,0.5646,54.8,55.8,1.82,胜
603690,至纯科技,0.564,28.93,28.66,-0.93,负
301468,博盈特焊,0.563,48.63,50.7,4.26,胜
688605,先锋精科,0.5629,88.49,87.61,-0.99,负
301043,绿岛风,0.5625,45.21,44.79,-0.93,负
300868,杰美特,0.5623,139.1,137.82,-0.92,负
603088,宁波精达,0.5613,10.37,10.3,-0.68,负
688146,XD中船特,0.5604,339.7,332.0,-2.27,负
300857,协创数据,0.5602,266.99,268.0,0.38,胜
600615,鑫源智造,0.5601,11.04,11.1,0.54,胜
301329,信音电子,0.5581,26.39,26.19,-0.76,负
688448,磁谷科技,0.5556,54.5,54.45,-0.09,负
301129,瑞纳智能,0.5552,23.13,23.05,-0.35,负
688401,路维光电,0.5528,83.05,81.97,-1.3,负
301383,天键股份,0.5527,27.25,27.05,-0.73,负
300417,南华仪器,0.5524,10.98,10.85,-1.18,负
300570,太辰光,0.5521,265.99,265.0,-0.37,负
000878,云南铜业,0.5506,17.93,17.84,-0.5,负
603421,鼎信通讯,0.5483,6.57,6.55,-0.3,负
002981,朝阳科技,0.5478,21.86,21.9,0.18,胜
301273,瑞晨环保,0.5472,32.84,32.61,-0.7,负
688512,慧智微-U,0.547,14.46,14.44,-0.14,负
002843,泰嘉股份,0.5457,22.14,22.12,-0.09,负
688012,中微公司,0.5451,351.0,350.0,-0.28,负
300671,富满微,0.5448,54.45,54.0,-0.83,负
688230,芯导科技,0.5444,70.21,70.0,-0.3,负
300697,电工合金,0.5439,17.13,17.1,-0.18,负
002058,威尔泰,0.5435,23.54,23.52,-0.08,负
688061,灿瑞科技,0.5435,48.51,48.28,-0.47,负
601020,华钰矿业,0.5429,24.85,24.6,-1.01,负
688141,杰华特,0.5417,135.4,138.0,1.92,胜
300555,ST路通,0.5407,13.87,13.87,0.0,平
300565,科信技术,0.5405,12.4,12.4,0.0,平
301285,鸿日达,0.5405,124.92,127.93,2.41,胜
688372,伟测科技,0.539,164.34,165.0,0.4,胜
