代码,名称,最新价,综合得分,资金得分,趋势得分,启动得分,板块得分,位置得分,分析师得分,多日得分,技术面得分,行业内得分,融资得分,加速度得分,占比趋势得分,涨跌幅,换手率,量比,总市值,触发信号
300044,*ST赛为,5.16,0.2834,0.183,0.436,0.255,0.752,0.661,0.5,0.173,0.5,0.178,0.218,0.7,0.0,-5.32,3.33,1.57,39.41565216,
300757,罗博特科,609.0,0.283,0.004,0.575,0.614,0.528,0.725,0.5,0.003,0.5,0.041,0.066,0.7,0.0,-8.56,8.34,1.82,1020.73339599,
002843,泰嘉股份,21.58,0.2829,0.189,0.5,0.308,0.528,0.53,0.5,0.322,0.5,0.148,0.139,0.7,0.0,-2.75,6.78,1.15,54.32496588,
002126,银轮股份,49.13,0.2828,0.188,0.575,0.253,0.528,0.578,0.5,0.301,0.5,0.058,0.182,0.7,0.0,-6.83,5.57,2.15,416.03583103,
688258,卓易信息,130.17,0.2826,0.119,0.555,0.52,0.752,0.362,0.5,0.051,0.5,0.096,0.102,0.7,0.0,1.2,3.78,1.05,157.6908499,
600186,莲花控股,14.4,0.2825,0.156,0.626,0.499,0.528,0.767,0.5,0.348,0.5,0.5,0.013,0.7,0.0,0.84,16.39,1.0,258.1581083,P29_high_turnover
600855,航天长峰,14.53,0.2823,0.245,0.303,0.35,0.528,0.421,0.5,0.211,0.5,0.5,0.247,0.7,0.0,-1.76,2.68,1.07,68.07925838,
000007,全新好,13.19,0.2822,0.192,0.334,0.426,0.199,0.599,0.5,0.221,0.5,0.429,0.355,0.7,0.0,-3.58,3.09,1.12,45.696497,
688568,中科星图,43.18,0.2822,0.066,0.31,0.643,0.752,0.592,0.5,0.069,0.5,0.068,0.172,0.7,0.0,-4.57,2.36,1.29,348.9284742,
002497,雅化集团,22.72,0.2819,0.241,0.778,0.246,0.815,0.164,0.5,0.093,0.5,0.075,0.05,0.7,0.0,2.71,5.45,1.28,261.86220454,
002553,南方精工,16.87,0.2818,0.21,0.456,0.378,0.528,0.453,0.5,0.161,0.5,0.275,0.148,0.7,0.0,-1.98,4.25,1.23,59.6202061,
002092,中泰化学,4.19,0.2814,0.348,0.556,0.21,0.801,0.15,0.5,0.164,0.5,0.091,0.146,0.7,0.0,2.7,2.75,1.12,108.52181776,
301498,乖宝宠物,41.12,0.2813,0.363,0.54,0.244,0.374,0.247,0.5,0.205,0.5,0.2,0.211,0.7,0.0,0.61,2.84,1.52,164.67443181,
600360,华微电子,12.31,0.2808,0.139,0.545,0.421,0.528,0.543,0.5,0.044,0.5,0.295,0.077,0.7,0.0,-0.73,7.56,1.03,118.21235192,
600382,广东明珠,7.6,0.2808,0.041,0.575,0.433,0.64,0.625,0.5,0.053,0.5,0.333,0.1,0.7,0.0,-7.77,7.01,1.63,52.77501476,
000628,高新发展,51.1,0.2803,0.16,0.498,0.516,0.269,0.243,0.5,0.112,0.5,0.5,0.396,0.7,0.0,-4.98,6.15,1.14,180.01508,
603038,华立股份,15.36,0.2802,0.305,0.49,0.201,0.556,0.253,0.5,0.294,0.5,0.182,0.422,0.7,0.0,1.19,2.57,1.22,41.26880348,
603379,三美股份,69.48,0.2801,0.218,0.603,0.317,0.815,0.369,0.5,0.067,0.5,0.03,0.044,0.7,0.0,6.19,3.39,1.09,424.16083491,
603222,济民健康,7.89,0.28,0.194,0.507,0.402,0.171,0.358,0.5,0.272,0.5,0.286,0.494,0.7,0.0,-1.13,3.6,1.68,41.42964952,
300075,数字政通,11.36,0.28,0.206,0.595,0.345,0.822,0.192,0.5,0.144,0.5,0.086,0.197,0.7,0.0,0.98,3.25,1.58,70.56038595,
603202,天有为,58.28,0.28,0.09,0.575,0.401,0.528,0.631,0.5,0.133,0.5,0.15,0.157,0.7,0.0,-8.02,6.05,2.57,93.248,
300258,精锻科技,12.11,0.2798,0.244,0.312,0.309,0.528,0.484,0.5,0.255,0.5,0.283,0.374,0.7,0.0,-3.04,3.03,1.04,70.84922113,
300385,ST雪浪,12.51,0.2798,0.148,0.462,0.375,0.689,0.583,0.5,0.133,0.5,0.1,0.183,0.7,0.0,-6.71,3.9,1.4,41.67655609,
603118,共进股份,13.12,0.2797,0.157,0.517,0.423,0.528,0.455,0.5,0.097,0.5,0.255,0.165,0.7,0.0,-0.61,4.41,1.1,103.29066447,
300587,天铁科技,4.38,0.2796,0.09,0.46,0.516,0.605,0.51,0.5,0.112,0.5,0.2,0.158,0.7,0.0,-3.1,3.83,1.42,56.86417331,
600501,航天晨光,16.59,0.2792,0.258,0.359,0.341,0.528,0.469,0.5,0.153,0.5,0.286,0.204,0.7,0.0,-2.07,2.41,1.54,70.97603478,
603158,腾龙股份,12.61,0.2791,0.115,0.489,0.423,0.528,0.623,0.5,0.08,0.5,0.133,0.309,0.7,0.0,-6.87,6.09,1.1,61.88611566,
603228,景旺电子,76.59,0.279,0.093,0.53,0.244,0.528,0.441,0.5,0.909,0.5,0.077,0.082,0.465,0.0,-5.51,6.1,1.29,754.30201689,
000796,凯撒旅业,4.12,0.2789,0.264,0.317,0.41,0.395,0.442,0.5,0.162,0.5,0.333,0.2,0.7,0.0,-1.67,2.92,1.02,66.07610334,
300718,长盛轴承,64.89,0.2787,0.154,0.575,0.418,0.528,0.527,0.5,0.046,0.5,0.109,0.108,0.7,0.0,-4.08,5.63,1.66,193.87771257,
002639,雪人集团,14.2,0.2785,0.297,0.548,0.209,0.528,0.474,0.5,0.097,0.5,0.195,0.097,0.7,0.0,-0.91,6.37,1.09,110.6116401,
300461,田中精机,40.6,0.2783,0.264,0.46,0.214,0.528,0.506,0.5,0.123,0.5,0.388,0.188,0.7,0.0,-2.4,4.36,1.21,63.76501695,
300922,天秦装备,20.02,0.2778,0.175,0.509,0.322,0.71,0.508,0.5,0.109,0.5,0.143,0.15,0.7,0.0,-4.8,7.23,1.19,32.20264648,
688182,灿勤科技,44.43,0.2775,0.07,0.448,0.552,0.528,0.509,0.5,0.151,0.5,0.176,0.185,0.7,0.0,-0.38,3.48,1.08,177.72,
002788,鹭燕医药,10.89,0.2774,0.444,0.375,0.193,0.283,0.268,0.5,0.222,0.5,0.286,0.294,0.7,0.0,-0.37,2.7,1.04,42.30947255,
002676,顺威股份,5.16,0.2771,0.209,0.467,0.35,0.528,0.15,0.5,0.302,0.5,0.467,0.25,0.7,0.0,0.0,2.89,1.3,37.152,
600418,江淮汽车,30.67,0.277,0.012,0.662,0.566,0.528,0.331,0.5,0.003,0.5,0.5,0.038,0.7,0.0,-0.23,4.86,1.68,691.35645241,
603712,七一二,12.74,0.2769,0.128,0.336,0.5,0.528,0.489,0.5,0.141,0.5,0.344,0.238,0.7,0.0,-3.7,2.47,1.37,98.3528,
